dbn,school_name,building_ids
01M015,P.S. 015 Roberto Clemente,M015
01M063,The STAR Academy - P.S.63,M063
01M064,P.S. 064 Robert Simon,M064
01M142,P.S. 142 Amalia Castro,M142
01M188,P.S. 188 The Island School,M188
01M292,Orchard Collegiate Academy,M056
01M315,The East Village Community School,M061
01M332,University Neighborhood Middle School,M056
01M361,The Children's Workshop School,M061
01M363,Neighborhood School,M063
01M364,Earth School,M064
01M378,School for Global Leaders,M025
01M450,East Side Community School,M060
01M458,Forsyth Satellite Academy,M510
01M515,Lower East Side Preparatory High School,M025
01M650,Cascades High School,M510
01M839,Tompkins Square Middle School,M064
02M033,P.S. 033 Chelsea Prep,M033
02M040,P.S. 040 Augustus Saint-Gaudens,M040
02M047,47 The American Sign Language and English Secondary School,M047
02M051,P.S. 051 Elias Howe,M338
02M059,P.S. 059 Beekman Hill International,M488
02M077,P.S. 77 Lower Lab School,M198
02M089,P.S. 89,M089
02M111,P.S. 111 Adolph S. Ochs,M111
02M114,East Side Middle School,M114
02M131,M.S. 131,M131
02M135,The Urban Assembly School for Emergency Management,M520
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,M625
02M158,P.S. 158 Bayard Taylor,M158
02M177,Yorkville East Middle School,M158
02M198,P.S. 198 Isador E. Ida Straus,M198
02M212,P.S. 212 Midtown West,M017
02M225,Ella Baker School,M480
02M255,M.S. 255 Salk School of Science,M040
02M276,Battery Park City School,M276
02M280,Manhattan Early College School for Advertising,M520
02M281,The River School,M281
02M282,Urban Assembly Maker Academy,M520
02M288,Food and Finance High School,M535
02M289,I.S. 289,M089
02M294,Essex Street Academy,M445
02M296,High School of Hospitality Management,M535
02M297,M.S. 297,M323
02M298,Pace High School,M131
02M300,"Urban Assembly School of Design and Construction, The",M535
02M303,"Facing History School, The",M535
02M305,"Urban Assembly Academy of Government and Law, The",M445
02M308,Lower Manhattan Arts Academy,M445
02M312,New York City Lab Middle School for Collaborative Studies,M070
